abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number,obj,obl
abachbibuuu,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number,obj,obl
abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number,obj,obl
two,two,three,four,five,six,eight,several,seven,one,nine,couple,few,both,ten,dozen,twelve,different,those,separate,many
music,music,songs,tunes,song,musical,jazz,musicians,dance,instrumental,listen,piano,musics,sound,listening,soundtrack,concert,album,guitar,musician,albums
bored,bored,tired,boring,annoyed,lazy,frustrated,kinda,distracted,dunno,pissed,awhile,scared,confused,lonely,depressed,damn,jealous,okay,anyways,stupid
out,out,up,down,going,off,get,them,put,back,way,go,away,just,it,coming,into,some,there,right,getting
you,you,'ll,want,sure,can,know,let,yourself,your,get,give,need,if,forget,way,'re,what,tell,able,find
made,made,making,make,that,they,been,would,brought,had,came,but,even,was,because,did,never,be,being,have,were
cap,cap,caps,capping,hat,capped,visor,collar,sleeve,helmet,sleeves,shield,screw,lid,hats,bolt,vest,retainer,hood,seal,shirt
yourself,yourself,you,myself,ourselves,your,oneself,yourselves,someone,knowing,mind,them,forget,'re,let,something,'ll,want,yours,him/her,themselves
world,world,worlds,ever,nation,country,worldwide,globe,global,life,greatest,continent,nations,most,earth,planet,society,lives,reality,countries,way
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm,hahah,heh
us,us,we,our,them,me,give,let,ourselves,everyone,you,bring,ask,tell,what,know,go,out,way,call,forget
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm,hahah,heh
be,be,should,being,not,will,must,may,could,would,might,can,been,they,if,are,have,either,already,so,always
ah,ah,ahh,yah,uh,eh,hah,ahhh,hahaha,nah,hehe,oh,hehehe,ohh,lah,haha,ooh,hahahaha,hmm,hahah,heh
abachbida,agent,attr,aux,cc,conj,cop,dep,det,dobj,expl,hmod,intj,mark,meta,neg,nn,num,number,obj,obl
suppose,suppose,guess,think,presume,assume,imagine,maybe,anyway,obviously,thought,wonder,though,honestly,doubt,perhaps,probably,supposed,admit,actually,meant
get,get,getting,want,going,'ll,got,need,you,go,sure,give,take,just,able,out,n't,know,enough,could,make
